tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,,118.0,"Comedy,Fantasy,Romance",6.4,94019.0
tt0118694,movie,In the Mood for Love,Fa yeung nin wah,0,2000,,98.0,"Drama,Romance",8.0,188705.0
tt0120630,movie,Chicken Run,Chicken Run,0,2000,,84.0,"Adventure,Animation,Comedy",7.1,225145.0
tt0120667,movie,Fantastic Four,Fantastic Four,0,2005,,106.0,"Action,Adventure,Fantasy",5.7,374132.0
tt0120679,movie,Frida,Frida,0,2002,,123.0,"Biography,Drama,Romance",7.3,101532.0
tt0120681,movie,From Hell,From Hell,0,2001,,122.0,"Crime,Horror,Mystery",6.7,172023.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,,178.0,"Adventure,Drama,Fantasy",8.9,2208845.0
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,,123.0,"Action,Adventure,Thriller",6.1,414576.0
tt0120804,movie,Resident Evil,Resident Evil,0,2002,,100.0,"Action,Horror,Sci-Fi",6.6,311139.0
tt0120903,movie,X-Men,X-Men,0,2000,,104.0,"Action,Adventure,Sci-Fi",7.3,692283.0
tt0120912,movie,Men in Black II,Men in Black II,0,2002,,88.0,"Action,Adventure,Comedy",6.2,432040.0
tt0120913,movie,Titan A.E.,Titan A.E.,0,2000,,94.0,"Action,Adventure,Animation",6.6,66747.0
tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000,,78.0,"Adventure,Animation,Comedy",7.4,249322.0
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,,77.0,"Animation,Comedy,Drama",7.4,328504.0
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,,142.0,"Action,Adventure,Fantasy",6.6,822142.0
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,,140.0,"Action,Adventure,Fantasy",7.7,923400.0
tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,,123.0,"Comedy,Crime,Romance",6.3,62198.0
tt0126029,movie,Shrek,Shrek,0,2001,,90.0,"Adventure,Animation,Comedy",7.9,811894.0
tt0130623,movie,Dinosaur,Dinosaur,0,2000,,82.0,"Adventure,Animation,Drama",6.4,72958.0
tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,,120.0,"Action,Adventure,Sci-Fi",5.7,242059.0
tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,,95.0,"Action,Adventure,Animation",7.2,148373.0
tt0134084,movie,Scream 3,Scream 3,0,2000,,116.0,"Horror,Mystery",5.7,185527.0
tt0134847,movie,Pitch Black,Pitch Black,0,2000,,109.0,"Horror,Sci-Fi,Thriller",7.0,263997.0
tt0138524,movie,Intolerable Cruelty,Intolerable Cruelty,0,2003,,100.0,"Comedy,Crime,Romance",6.3,105922.0
tt0138749,movie,The Road to El Dorado,The Road to El Dorado,0,2000,,89.0,"Adventure,Animation,Comedy",6.9,119255.0
tt0139654,movie,Training Day,Training Day,0,2001,,122.0,"Crime,Drama,Thriller",7.8,518013.0
tt0141926,movie,U-571,U-571,0,2000,,116.0,"Action,War",6.6,92065.0
tt0144084,movie,American Psycho,American Psycho,0,2000,,102.0,"Crime,Drama,Horror",7.6,839528.0
tt0144528,movie,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,0,2000,,106.0,"Comedy,Romance,Sci-Fi",4.5,55647.0
tt0145487,movie,Spider-Man,Spider-Man,0,2002,,121.0,"Action,Adventure,Sci-Fi",7.4,969557.0
tt0146309,movie,Thirteen Days,Thirteen Days,0,2000,,145.0,"Drama,History,Thriller",7.3,66360.0
tt0146316,movie,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0,2001,,100.0,"Action,Adventure,Fantasy",5.8,230977.0
tt0146882,movie,High Fidelity,High Fidelity,0,2000,,113.0,"Comedy,Drama,Music",7.4,199285.0
tt0146984,movie,The Legend of Bagger Vance,The Legend of Bagger Vance,0,2000,,126.0,"Drama,Sport",6.7,62396.0
tt0159273,movie,Behind Enemy Lines,Behind Enemy Lines,0,2001,,106.0,"Action,Drama,Thriller",6.4,119469.0
tt0159365,movie,Cold Mountain,Cold Mountain,0,2003,,154.0,"Adventure,Drama,Romance",7.2,164370.0
